id_74,mother height,father height,gender
7400001,179,182,1
7400008,,,1
7400010,150,174,1
7400011,177,175,1
7400016,165,180,1
7400018,167,173,1
7400031,160,181,1
7400032,,,1
7400044,168,184,1
7400053,158,172,1
7400055,162,179,1
7400057,152,163,1
7400059,169,174,1
7400060,165,177,1
7400064,159,170,1
7400066,168,183,1
7400069,,,1
7400074,170,177,1
7400078,165,186,1
7400079,165,192,1
7400082,162,,1
7400085,168,171,1
7400087,164,176,1
7400088,162,180,1
7400102,167,183,1
7400104,166,172,1
7400106,,,1
7400107,168,175,1
7400108,,181,1
7400111,170,185,1
7400112,,,1
7400116,163,192,1
7400127,168,173,1
7400155,,,1
7400159,159,184,1
7400163,162,170,1
7400170,,,1
7400174,,,1
7400176,,,1
7400183,170,179,1
7400188,158,168,1
7400193,188,188,1
7400198,169,181,1
7400205,171,186,1
7400207,169,,1
7400208,168,175,1
7400211,174,183,1
7400212,163,182,1
7400213,,,1
7400218,167,180,1
7400219,175,183,1
7400221,175,180,1
7400229,167,165,1
7400234,162,174,1
7400241,162,176,1
7400243,172,184,1
7400244,158,169,1
7400251,169,175,1
7400257,165,185,1
7400258,165,190,1
7400261,164,186,1
7400268,,,1
7400269,175,185,1
7400273,,,1
7400275,162,164,1
7400276,,,1
7400281,176,180,1
7400284,,,1
7400288,169,170,1
7400290,158,175,1
7400292,172,178,1
7400294,159,,1
7400304,164,181,1
7400313,156,174,1
7400314,168,180,1
7400328,170,175,1
7400331,163,175,1
7400332,,,1
7400337,167,187,1
7400339,,,1
7400348,,,1
7400355,165,187,1
7400356,163,182,1
7400358,,,1
7400362,160,179,1
7400368,165,170,1
7400372,157,182,1
7400376,174,170,1
7400379,171,186,1
7400380,174,175,1
7400382,,,1
7400385,,,1
7400386,166,172,1
7400394,,,1
7400395,174,179,1
7400398,163,180,1
7400401,167,185,1
7400408,165,175,1
7400409,164,175,1
7400417,174,190,1
7400423,170,181,1
7400424,165,189,1
7400432,,,1
7400435,165,170,1
7400436,160,180,1
7400440,168,184,1
7400441,166,184,1
7400444,174,188,1
7400452,165,177,1
7400453,,,1
7400455,170,175,1
7400456,179,187,1
7400465,166,178,1
7400471,,178,1
7400474,,173,1
7400478,176,192,1
7400482,,,1
7400487,,,1
7400488,178,,1
7400492,168,181,1
7400493,168,173,1
7400495,,183,1
7400502,,,1
7400503,,,1
7400512,174,182,1
7400517,174,186,1
7400519,168,186,1
7400522,152,171,1
7400523,173,192,1
7400524,171,191,1
7400529,159,185,1
7400532,175,180,1
7400535,163,180,1
7400536,166,186,1
7400544,180,178,1
7400545,173,192,1
7400549,162,187,1
7400553,183,178,1
7400558,157,173,1
7400559,,,1
7400562,,,1
7400568,153,184,1
7400569,168,185,1
7400571,168,175,1
7400572,172,183,1
7400575,,,1
7400579,175,185,1
7400582,160,190,1
7400585,167,187,1
7400587,171.5,177,1
7400590,,,1
7400591,,,1
7400598,163,177,1
7400599,189,176,1
7400602,165,174,1
7400603,,,1
7400610,175,186,1
7400620,165,181,1
7400622,,,1
7400625,156,170,1
7400627,168,180,1
7400631,163,177,1
7400640,169,183.5,1
7400643,174,183,1
7400644,170,180,1
7400650,,,1
7400655,174,183,1
7400657,,,1
7400660,169,189,1
7400667,160,188,1
7400671,,,1
7400673,163,172,1
7400684,160,175,1
7400699,163,191,1
7400703,,,1
7400705,,,1
7400714,158,173,1
7400722,,,1
7400723,170,181,1
7400728,157,175,1
7400735,165,179,1
7400736,,,1
7400739,,187,1
7400741,,,1
7400749,167,,1
7400753,,,1
7400759,164,186,1
7400765,,,1
7400766,,,1
7400772,160,170,1
7400774,,,1
7400775,160,190,1
7400776,173,187,1
7400783,164.5,180,1
7400785,,,1
7400800,158,174,1
7400801,161,182,1
7400806,,,1
7400810,,,1
7400813,172,182,1
7400815,168,189,1
7400823,175,,1
7400828,169,186,1
7400830,171,,1
7400833,,,1
7400835,160,180,1
7400839,,,1
7400840,,,1
7400850,175,180,1
7400852,157,169,1
7400860,167,181,1
7400862,174,182,1
7400865,,,1
7400871,155,170,1
7400872,,,1
7400881,,180,1
7400883,160,172.5,1
7400884,167,183,1
7400890,165,170,1
7400892,165,,1
7400895,,,1
7400898,,,1
7400900,,,1
7400901,167,179,1
7400904,166,178,1
7400905,162,182,1
7400912,165,192,1
7400913,165,193,1
7400916,160,181,1
7400917,163,178,1
7400919,160,175,1
7400922,168,170,1
7400924,169,178,1
7400926,164,180,1
7400930,168,177,1
7400931,167,179,1
7400937,167,189,1
7400942,173,174,1
7400943,160,175,1
7400947,163,183,1
7400948,170,176,1
7400949,,,1
7400952,,,1
7400964,172,178,1
7400966,158,185,1
7400971,162,180,1
7400975,,173,1
7400982,169,182,1
7400983,156,180,1
7400989,158,180,1
7400993,177,184,1
7400996,175,165,1
7401005,158,174,1
7401008,170,185,1
7401009,164,176,1
7401011,173,186,1
7401019,163,179,1
7401021,168,180,1
7401022,180,180,1
7401028,172,181,1
7401030,,,1
7401032,164,187,1
7401036,,,1
7401046,,,1
7401050,158,174,1
7401051,,188,1
7401058,175,175,1
7401060,172,183,1
7401068,165,184,1
7401069,170,190,1
7401081,168,173,1
7401084,169,177,1
7401086,,,1
7401087,168,174,1
7401092,,,1
7401095,158,180,1
7401096,170,180,1
7401101,,,1
7401102,167,168,1
7401110,165,180,1
7401111,180,175,1
7401112,174,182,1
7401113,170,180,1
7401118,172,173,1
7401122,162,183,1
7401123,,,1
7401131,,,1
7401133,172,178,1
7401135,160,180,1
7401136,170,183,1
7401137,,,1
7401144,,,1
7401145,165,,1
7401151,158,183,1
7401153,165,171,1
7401155,160,176,1
7401157,,192.5,1
7401158,,,1
7401164,,,1
7401165,159,173,1
7401168,,,1
7401170,,,1
7401175,,,1
7401177,163,178,1
7401178,,,1
7401182,,,1
7401183,170,178,1
7401187,165,176,1
7401188,159,169,1
7401189,166,174,1
7401193,167,180,1
7401195,160,190,1
7401196,168,184.5,1
7401207,,,1
7401216,,182,1
7401218,162,170,1
7401219,,,1
7401223,168,172,1
7401235,165,178,1
7401237,160,180,1
7401239,167,179,1
7401244,166,183,1
7401245,172,178,1
7401253,,,1
7401257,163,175,1
7401258,159,180,1
7401264,158,174,1
7401268,160,177,1
7401272,,,1
7401275,154,180,1
7401279,170,180,1
7401285,,,1
7401292,170,176,1
7401293,169,185,1
7401299,168,188,1
7401301,165,180,1
7401303,164,180,1
7401309,166,172,1
7401310,160,178,1
7401312,180,195,1
7401314,160,178,1
7401315,158,185,1
7401316,170,182,1
7401319,160,176,1
7401321,,,1
7401322,171.5,177,1
7401326,165,172,1
7401335,,,1
7401339,,,1
7401358,170,185,1
7401367,168,185,1
7401377,,,1
7401380,168,185,1
7401381,,175,1
7401382,152,182,1
7401384,169,188,1
