id_74,mother height,father height,gender
7400002,156,174,2
7400003,,,2
7400004,180,182,2
7400006,170,175,2
7400014,162,179,2
7400017,,,2
7400019,170,185,2
7400023,168,178,2
7400027,,,2
7400035,165,185,2
7400038,157,179,2
7400041,161,185,2
7400042,157,163,2
7400046,159,190,2
7400047,173,182,2
7400051,167,175,2
7400054,,,2
7400056,172,190,2
7400065,160,175,2
7400073,173,173,2
7400076,165,182,2
7400080,174,190,2
7400081,172.5,192,2
7400083,,,2
7400092,165,185,2
7400095,165,178,2
7400096,,,2
7400098,175,170,2
7400099,162,175,2
7400109,169,170,2
7400110,178,198,2
7400114,165,176,2
7400115,,,2
7400118,160,180,2
7400120,,,2
7400121,175,,2
7400124,173,186,2
7400128,170,179,2
7400131,166.5,177,2
7400138,159,193,2
7400140,165,170,2
7400143,179,185,2
7400144,167,180,2
7400145,174,175,2
7400147,174,180,2
7400148,168,178,2
7400149,168,186,2
7400150,174,170,2
7400152,170,180,2
7400156,160,178,2
7400165,162.5,174,2
7400172,167,173,2
7400173,165,175,2
7400175,171,182,2
7400177,164,176,2
7400185,170,183,2
7400187,,,2
7400192,165,178,2
7400195,162,176,2
7400197,168,178,2
7400199,164,183,2
7400204,167.5,179,2
7400210,168,183,2
7400215,164,186,2
7400217,164,,2
7400222,,,2
7400226,,,2
7400230,165,176,2
7400233,161,,2
7400240,172,189,2
7400256,159,182,2
7400264,166,175,2
7400265,,,2
7400267,155,175,2
7400280,167,190,2
7400285,,,2
7400286,,,2
7400289,161,166,2
7400291,,,2
7400298,174,185,2
7400299,,,2
7400303,176,172,2
7400305,170,174,2
7400318,,,2
7400319,163,175,2
7400320,167,183,2
7400322,175,177,2
7400324,173,186,2
7400326,170,179,2
7400336,174,183,2
7400345,,,2
7400346,162,183,2
7400347,164,178,2
7400353,,,2
7400357,,,2
7400360,179,179,2
7400365,162,184,2
7400370,167,171,2
7400375,165,178,2
7400389,179,186,2
7400390,160,177,2
7400392,,,2
7400396,159,171,2
7400397,,,2
7400404,170,176,2
7400407,,,2
7400415,165,175,2
7400420,162,170,2
7400421,168,187,2
7400429,160,183,2
7400431,160,,2
7400437,154,162,2
7400438,168,186,2
7400443,163,181,2
7400447,,,2
7400450,,,2
7400451,,,2
7400457,,,2
7400459,175,187,2
7400461,174,189,2
7400463,,,2
7400466,168,177,2
7400467,167,177,2
7400468,175,183,2
7400472,160,177,2
7400475,177,193,2
7400479,170,181,2
7400483,170,182,2
7400491,165,,2
7400505,170,196,2
7400506,166,176,2
7400507,,,2
7400511,170,185,2
7400520,155,184,2
7400525,171,171,2
7400526,164,168,2
7400541,173,184,2
7400542,174,187,2
7400543,169.5,171,2
7400546,,,2
7400550,174,174,2
7400556,,,2
7400565,168,189,2
7400573,165,170,2
7400574,170,185,2
7400576,165,173,2
7400580,168,175,2
7400596,,,2
7400600,165,182,2
7400605,162,185,2
7400607,172,189,2
